t,drawdown
0,-0.004300710003126262
1,-0.01665896273263867
2,0.0
3,-0.0020370796063265972
4,-0.010559376080907956
5,-0.02766998697898737
6,-0.018619737928529445
7,-0.009413612958681594
8,-0.0014112377303268087
9,-0.015268981105074575
10,-0.0045182117935765875
11,0.0
12,-0.0027789565632820867
13,-0.011524082393413737
14,0.0
15,-7.836796012594682e-05
16,0.0
17,0.0
18,0.0
19,-0.00426361658617358
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,-0.0021314081894499015
26,0.0
27,0.0
28,-0.011539643703883828
29,-0.007659839979454297
30,0.0
31,0.0
32,0.0
33,-0.00631543339503049
34,-0.0067842780489941745
35,-0.009042191111497622
36,0.0
37,0.0
38,0.0
39,-0.05170612154502363
40,-0.07512269876891975
41,-0.05563648471414939
42,-0.030965743285284564
43,-0.026267209175525497
44,-0.03150057049726729
45,-0.04430182795647597
46,-0.02754321202864496
47,-0.040738776603008175
48,-0.06971340474696819
49,-0.053908324077049596
50,-0.040778563605278206
51,-0.05370236304874432
52,-0.03701541887181692
53,-0.04774588660683432
54,-0.061600335582673305
55,-0.03398320353417317
56,-0.032757817835598946
57,-0.0430174015421555
58,-0.04762447135376935
59,-0.03186512297779076
60,-0.026154450848442812
61,-0.03137252022740389
62,-0.024146332459116127
63,-0.029398994104007703
64,-0.03925006785045759
65,-0.05305753871349861
66,-0.0446158425994152
67,-0.0539164065384099
68,-0.0668222534510875
69,-0.05658306287727832
70,-0.05133558242624514
71,-0.014954366514727369
72,-0.021348233900856495
73,-0.014571670903137712
74,-0.0033130709227248145
75,-0.004082329487988257
76,-0.013918095879609016
77,-0.002193210931793921
78,0.0
79,-0.004365060743262483
80,0.0
81,-0.009977629671801158
82,0.0
83,-0.0035679431974938725
84,-0.011214012667811302
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,-0.010606257108300543
94,-0.001079302182187436
95,0.0
96,0.0
97,0.0
98,-0.006492731165494203
99,0.0
100,-0.0011742757906171297
101,0.0
102,-0.00021417177902438578
103,0.0
104,0.0
105,0.0
106,0.0
107,-0.007150441857113776
108,-0.059253676152351664
109,-0.06235911145354889
110,-0.052166864387558576
111,-0.05794380120706866
112,-0.060193660641522984
113,-0.05355167282807638
114,-0.08245484250124369
115,-0.09069379017641965
116,-0.05454437304454596
117,-0.05358072461969565
118,-0.051689186102835794
119,-0.029575912208718358
120,-0.027813966448746452
121,-0.04234537619101342
122,-0.04177884632714923
123,-0.0015991289537973241
124,0.0
125,-0.027674896137081295
126,0.0
127,0.0
128,0.0
129,-0.012780815878878804
130,-0.0009412766954818297
131,0.0
132,-0.0007129427506924468
133,-0.01923483888359634
134,-0.023805631450351195
135,-0.016980143609405918
136,-0.01362410533567715
137,-0.01834195814676809
138,-0.009557747434192243
139,0.0
