t,return
0,0.012121985173735757
1,-0.021809556291538797
2,0.010302590493874192
3,0.017694181639213467
4,0.02195460036333547
5,-0.008505802403374858
6,0.004241918032607505
7,-0.0010697788968296361
8,-0.03434174794201668
9,-0.01003917876382047
10,-0.0005101278930685245
11,0.03855989023842051
12,0.021013280996524122
13,0.029418893403374422
14,-0.00046967475014244274
15,0.002061051335131528
16,0.024687921289536018
17,-0.00459595517766874
18,0.015059283377809794
19,0.009708611754791133
20,0.023509656755644606
21,-0.002392163219700385
22,0.0074106313410781735
23,0.001267225696345249
24,-0.0023281019740045124
25,-0.00031315900850482567
26,-0.034956120057163434
27,0.00017253110553012464
28,0.01758308208344442
29,-0.01247304438144367
30,0.009489443355371831
31,0.0068871322445193135
32,-0.0006320960679134765
33,0.0057875423762724035
34,0.009118049624934475
35,-0.02292262994623787
36,0.015754023764620113
37,0.005232704765217347
38,-0.01154007719088453
39,-0.0029424694966300943
40,-0.029623713576270624
41,-0.00046859345165478454
42,-0.0003064120384578886
43,0.009551853429019447
44,0.0007630602672128511
45,0.001309190498575189
46,-0.007827086187356398
47,-0.008078951609304594
48,-0.004399827546733528
49,0.03232354024561964
50,0.012664919356176956
51,-0.01716316332571432
52,-0.02390479705617829
53,-0.00522909435443632
54,-0.018901699267095434
55,-0.0011000076750068042
56,0.0043019348504842415
57,-0.009880701772363576
58,-0.026452438530190508
59,-0.004888112284967224
60,0.011762931916743857
61,0.02535497577191264
62,0.0003595043953093794
63,-0.030135088164267267
64,0.002499347044760257
65,-0.010245797144150923
66,-0.010768777398396438
67,4.124774889190108e-05
68,0.01529281668701855
69,-0.02344638400778588
70,-0.0007396384761311874
71,0.0333239571676443
72,-0.013449538258794847
73,-0.027577966210860443
74,0.01734369274240699
75,0.0018564870755673184
76,0.016014680747096374
77,-0.027978943992385995
78,0.00036816755155855943
79,-0.0010333741833836538
80,-0.001162955887473172
81,-0.007309839058202804
82,0.002833795445627823
83,0.006214903357234264
84,-0.0037086973333576283
85,0.0040978287880670755
86,-0.02731366510588095
87,0.00033384187467551743
88,-0.015483749154262235
89,-0.023647647190505564
90,-0.017611415762921558
91,0.00022839892653241014
92,0.004116197881993352
93,-0.017960398281925298
94,0.001255051564391915
95,0.007876872651026174
96,-0.006312715878404483
97,0.013834071046190152
98,0.01684839828091301
99,-0.023037351406389683
100,-0.014077771752055577
101,0.008373564789220179
102,0.021722577255071696
103,0.014707024009316477
104,-0.005973579663029735
105,-0.018227339629438753
106,-0.030607120210058188
107,-0.03783981914398185
108,0.007301260435224243
109,0.0024928237807302126
110,0.000978665555961932
111,-0.01929024645509969
112,-0.009749832505316119
113,0.00016333794059955522
114,-0.002444014768710827
115,-0.016003083409736205
116,0.013180581078211073
117,0.0002108858513905935
118,0.04259997474019199
119,-0.01904884912343624
120,-0.026263343252300765
121,0.012125763379419528
122,-0.021803636533086552
123,0.027025527329391747
124,-0.003915437588776997
125,-0.004626363834679926
126,0.01763198431491575
127,-0.019272985554897752
128,0.026969754955979794
129,-0.003563746388492845
130,0.03286061140176697
131,0.0012876912791140492
132,-0.011873964525369464
133,-0.01590925949109436
134,-0.005263201187859619
135,0.007787323178061646
136,-0.0038502754244471088
137,0.0469708001596187
138,0.006614120239816647
139,-0.008489328977938315
140,-0.02135619836068674
141,0.009968558595529019
142,0.004490055756115706
143,-0.005893052743140954
144,0.020886588196717112
145,-0.029434827604554948
146,-0.016420073197419303
147,-0.0022103090139172863
148,0.01414535079094119
149,0.0067133205818966125
150,0.0165058192389148
151,-0.024578068273773984
152,0.009658491702959269
153,-0.007921993342674863
154,-0.028990663047389002
155,-0.00746471393803521
156,0.02328551398787056
157,0.03405241564631929
158,-0.0019802795260729584
159,0.02563444012270384
160,-0.010215214599251603
161,-0.029371879210576754
162,0.008117115254470106
163,0.00642844199393235
164,-0.00525179885200178
165,-0.019366385648276273
166,-0.030301631544095858
167,-0.007838554336391749
168,0.0026407773700777458
169,-0.02795357344237564
170,-0.02863627589501805
171,-0.007602240867420102
172,-0.004768888052356979
173,-0.03083342249232059
174,0.02100904533886814
175,0.04122979787130846
176,-0.008217528863233788
177,0.015022602782137105
178,-0.027038173185447337
179,0.004768480898232091
180,-0.03952429898091047
181,-0.003760765693041332
182,0.0009890800278438807
183,0.013166637070952043
184,-0.014056685398433619
185,0.011992556026121521
186,-0.013464400207208745
187,-0.009606676658029651
188,-0.01186576023902804
189,-0.011537919713333492
190,0.03477295779997018
191,-0.017806686655570995
192,0.028379830618943697
193,-0.016343090982309495
194,0.0006356413666644507
