date,return
0,0.014717969315142675
1,0.0034401363576789428
2,-0.03302881663572329
3,0.00018423296777456512
4,0.00404097628674994
5,0.004447673882951912
6,0.010197453807392355
7,-0.013705028716314243
8,-0.019937977491483523
9,-0.0026952181108847793
10,-0.020339987859464698
11,0.011803058345718312
12,0.012287555415308304
13,-0.017674606146396467
14,0.01690323703833472
15,-0.0072879079024782255
16,-0.016662662133353538
17,0.0006826532421999004
18,-0.00601124145370031
19,0.023617603712259405
20,-0.01307894886450787
21,-0.011199262354625424
22,-0.01417527531495425
23,0.0011221201751922373
24,-0.0029001292970488165
25,0.006268668439361609
26,-0.001239944912077073
27,0.016027912511363252
28,0.02180317223273487
29,-0.004309691468868062
30,0.03328887272261894
31,0.021976779392883755
32,-0.006417775282116242
33,-0.0020545230251718624
34,0.009314473052822814
35,-0.00064676099789432
36,0.0037015090732219784
37,0.011018511744397948
38,-0.02069728313037157
39,0.013456833997976756
40,-0.01549011028803623
41,0.0072583410283252325
42,0.0088131806292223
43,0.014006053799351133
44,-0.0009509389388362211
45,0.019749915475133863
46,0.04140689352600184
47,-0.003792248501837332
48,0.0026362750004728214
49,-0.0008612599992140757
50,0.011490779523208698
51,0.008765799166955364
52,-0.005467723677323265
53,0.02285211419196302
54,-0.03259646325037883
55,0.007041480771607703
56,-0.021616378615815127
57,0.0178835744834102
58,0.006864216821017317
59,0.003050194071016367
60,-0.006742381179426781
61,0.021675627983771248
62,-0.010858420125843322
63,0.002341737588982829
64,-0.000574800348013916
65,-0.01814324259843058
66,-0.001971439527632269
67,-0.013949996221828954
68,0.00143704410523741
69,-0.006301890034682301
70,-0.027235790550199666
71,-0.01660341241851032
72,0.007736298506914575
73,0.022027528602612326
74,-0.010155665635821487
75,0.0065699149792654
76,-0.03369226010702371
77,0.0007464860387789441
78,0.019787181882799272
79,0.009278697565041365
80,-0.005841798123400093
81,-0.012536169887678507
82,0.010815978091043737
83,-0.00676900457864749
84,-0.01880098354973292
85,0.033061477350415897
86,0.025295802158872033
